example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,35,1152.98,600,237.79,315.19,9,2,40678,24.285,15264,-1
1,36,1152.98,600,237.79,315.19,9,2,40678,1.572,15264,97.67
2,35,1073.2,600,230.42,242.78,9,2,42115,28.551,19344,-1
2,36,1073.2,600,230.42,242.78,9,2,42115,1.598,19344,97.7
3,35,912.93,600,193.34,119.59,9,2,32475,27.284,23472,-1
3,36,912.93,600,193.34,119.59,9,2,32475,1.629,23472,97.72
4,35,1021.22,600,210.94,210.28,9,2,36179,28.585,23376,-1
4,36,1021.22,600,210.94,210.28,9,2,36179,1.631,23376,97.74
5,35,957.95,600,226.82,131.13,9,2,37758,27.267,43776,-1
5,36,957.95,600,226.82,131.13,9,2,37758,1.749,43776,97.84
6,35,1111.16,600,237.04,274.12,9,2,44598,25.762,15744,-1
6,36,1111.16,600,237.04,274.12,9,2,44598,1.559,15744,97.69
7,35,1116.14,600,238.7,277.44,9,2,39981,22.296,9696,-1
7,36,1116.14,600,238.7,277.44,9,2,39981,1.505,9696,97.6
8,35,1087.31,600,215.43,271.88,9,2,36951,29.511,27120,-1
8,36,1087.31,600,215.43,271.88,9,2,36951,1.857,27120,97.76
9,35,1084.07,600,218.29,265.78,9,2,38019,30.479,36528,-1
9,36,1084.07,600,218.29,265.78,9,2,38019,1.718,36528,97.81
10,35,1060.71,600,217.26,243.45,9,2,39363,29.83,33552,-1
10,36,1060.71,600,217.26,243.45,9,2,39363,1.711,33552,97.79
11,35,1055.8,600,213.1,242.7,9,2,36993,28.891,28560,-1
11,36,1055.8,600,213.1,242.7,9,2,36993,1.669,28560,97.76
12,35,1005.83,600,185.13,220.7,9,2,32021,34.07,28464,-1
12,36,1005.83,600,185.13,220.7,9,2,32021,1.678,28464,97.75
13,35,1110.55,600,224.07,286.48,9,2,38292,25.261,31152,-1
13,36,1110.55,600,224.07,286.48,9,2,38292,1.684,31152,97.75
14,35,998.43,600,201.61,196.82,9,2,38583,34.719,40224,-1
14,36,998.43,600,201.61,196.82,9,2,38583,1.755,40224,97.82
15,35,1023.33,600,221.44,201.89,9,2,37485,26.005,13584,-1
15,36,1023.33,600,221.44,201.89,9,2,37485,1.556,13584,97.61
16,35,965.36,600,200.19,165.17,9,2,34355,34.72,48672,-1
16,36,965.36,600,200.19,165.17,9,2,34355,1.815,48672,97.86
17,35,1366.27,900,283.62,182.65,9,3,39575,24.086,17328,-1
17,36,1366.27,900,283.62,182.65,9,3,39575,1.588,17328,97.71
18,35,1199.45,600,233.45,366.0,9,2,40294,27.358,20016,-1
18,36,1199.45,600,233.45,366.0,9,2,40294,1.62,20016,97.72
19,35,1016.78,600,232.9,183.88,9,2,42810,36.292,39408,-1
19,36,1016.78,600,232.9,183.88,9,2,42810,1.755,39408,97.82
20,35,909.72,600,171.38,138.34,9,2,32145,70.406,125424,-1
20,36,909.72,600,171.38,138.34,9,2,32145,2.466,125424,98.08
