example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,15,99999999,99999999,99999999,99999999,10,-1,99999999,112.969,0,-1
1,25,843.6,600,160.67,82.93,6,2,30871,0.017,48,-1
1,35,843.6,600,160.67,82.93,6,2,30871,0.05,168,-1
2,15,99999999,99999999,99999999,99999999,10,-1,99999999,103.844,0,-1
2,25,99999999,99999999,99999999,99999999,6,-1,99999999,0.011,0,-1
2,35,99999999,99999999,99999999,99999999,6,-1,99999999,0.029,0,-1
3,15,723.9,99999999,99999999,99999999,10,-1,99999999,117.656,200,-1
3,25,723.9,300,134.37,289.53,6,1,42892,0.023,120,-1
3,35,723.9,300,134.37,289.53,6,1,42892,0.072,276,-1
4,15,99999999,99999999,99999999,99999999,10,-1,99999999,109.384,0,-1
4,25,956.43,600,219.78,136.65,6,2,43130,0.012,4,-1
4,35,911.65,600,194.16,117.49,6,2,33206,0.036,48,-1
5,15,99999999,99999999,99999999,99999999,10,-1,99999999,105.042,0,-1
5,25,899.54,600,206.11,93.43,6,2,35162,0.013,16,-1
5,35,899.54,600,206.11,93.43,6,2,35162,0.041,88,-1
6,15,99999999,99999999,99999999,99999999,10,-1,99999999,122.842,0,-1
6,25,974.59,600,213.11,161.48,6,2,41089,0.015,14,-1
6,35,956.3,600,213.11,143.19,6,2,40254,0.046,128,-1
7,15,99999999,99999999,99999999,99999999,10,-1,99999999,102.402,0,-1
7,25,99999999,99999999,99999999,99999999,6,-1,99999999,0.01,0,-1
7,35,947.86,600,200.53,147.33,6,2,41351,0.031,56,-1
8,15,99999999,99999999,99999999,99999999,10,-1,99999999,129.266,0,-1
8,25,929.0,600,183.67,145.33,6,2,34319,0.019,64,-1
8,35,929.0,600,183.67,145.33,6,2,34319,0.059,216,-1
9,15,99999999,99999999,99999999,99999999,10,-1,99999999,105.213,0,-1
9,25,99999999,99999999,99999999,99999999,6,-1,99999999,0.012,0,-1
9,35,975.37,600,229.02,146.35,6,2,44025,0.032,24,-1
10,15,99999999,99999999,99999999,99999999,10,-1,99999999,104.521,0,-1
10,25,1073.87,600,235.62,238.25,6,2,39506,0.012,8,-1
10,35,1023.91,600,241.33,182.58,6,2,43200,0.032,48,-1
11,15,99999999,99999999,99999999,99999999,10,-1,99999999,99.915,0,-1
11,25,99999999,99999999,99999999,99999999,6,-1,99999999,0.012,0,-1
11,35,1091.87,600,264.32,227.55,6,2,42647,0.028,8,-1
12,15,591.62,99999999,99999999,99999999,10,-1,99999999,122.619,136,-1
12,25,591.62,300,127.34,164.28,6,1,41692,0.023,116,-1
12,35,591.62,300,127.34,164.28,6,1,41692,0.059,328,-1
13,15,99999999,99999999,99999999,99999999,10,-1,99999999,124.337,0,-1
13,25,921.77,600,208.9,112.87,6,2,34805,0.015,28,-1
13,35,921.77,600,208.9,112.87,6,2,34805,0.054,120,-1
14,15,99999999,99999999,99999999,99999999,10,-1,99999999,121.459,0,-1
14,25,867.87,600,175.51,92.36,6,2,36864,0.014,20,-1
14,35,867.01,600,179.92,87.09,6,2,38200,0.047,188,-1
15,15,99999999,99999999,99999999,99999999,10,-1,99999999,109.106,0,-1
15,25,1109.81,600,271.93,237.88,6,2,42889,0.013,4,-1
15,35,1061.15,600,250.01,211.14,6,2,42889,0.036,48,-1
16,15,99999999,99999999,99999999,99999999,10,-1,99999999,124.038,0,-1
16,25,941.09,600,188.65,152.44,6,2,38340,0.017,44,-1
16,35,900.44,600,170.38,130.06,6,2,33234,0.046,160,-1
17,15,99999999,99999999,99999999,99999999,10,-1,99999999,104.279,0,-1
17,25,1104.55,600,268.48,236.07,6,2,44000,0.014,10,-1
17,35,1044.75,600,253.23,191.52,6,2,40110,0.034,56,-1
18,15,99999999,99999999,99999999,99999999,10,-1,99999999,96.063,0,-1
18,25,99999999,99999999,99999999,99999999,6,-1,99999999,0.01,0,-1
18,35,99999999,99999999,99999999,99999999,6,-1,99999999,0.028,0,-1
19,15,99999999,99999999,99999999,99999999,10,-1,99999999,106.549,0,-1
19,25,1144.49,600,261.11,283.38,6,2,41159,0.013,4,-1
19,35,1003.95,600,221.82,182.13,6,2,36209,0.032,48,-1
20,15,99999999,99999999,99999999,99999999,10,-1,99999999,110.953,0,-1
20,25,1110.91,600,265.83,245.08,6,2,42006,0.014,4,-1
20,35,1012.55,600,229.31,183.24,6,2,41989,0.037,72,-1
