example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,21,1265.32,900,228.41,136.91,9,3,29973,2.396,-1,-1
1,31,1045.72,600,220.41,225.31,9,2,37879,7.105,-1,-1
1,35,1045.72,600,220.41,225.31,9,2,37879,29.302,33744,-1
2,21,1015.96,600,230.52,185.44,9,2,38763,2.039,-1,-1
2,31,1003.25,600,227.78,175.47,9,2,38763,4.418,-1,-1
2,35,1003.25,600,227.78,175.47,9,2,38763,30.74,27216,-1
3,21,1110.37,600,241.31,269.06,9,2,42523,2.029,-1,-1
3,31,1099.47,600,232.88,266.59,9,2,42523,4.897,-1,-1
3,35,1099.47,600,232.88,266.59,9,2,42523,24.803,15504,-1
4,21,922.66,600,190.98,131.68,9,2,34482,1.983,-1,-1
4,31,922.66,600,190.98,131.68,9,2,34482,9.932,-1,-1
4,35,922.66,600,190.98,131.68,9,2,34482,37.804,69744,-1
5,21,964.79,600,220.01,144.78,9,2,42083,2.091,-1,-1
5,31,923.43,600,206.78,116.65,9,2,35823,7.29,-1,-1
5,35,923.43,600,206.78,116.65,9,2,35823,36.215,45168,-1
6,21,1027.66,600,204.78,222.88,9,2,35089,1.83,-1,-1
6,31,1007.63,600,216.42,191.21,9,2,36631,3.903,-1,-1
6,35,1007.63,600,216.42,191.21,9,2,36631,32.161,42432,-1
7,21,1114.08,600,233.22,280.86,9,2,42561,2.136,-1,-1
7,31,1030.41,600,203.81,226.6,9,2,32832,5.733,-1,-1
7,35,1030.41,600,203.81,226.6,9,2,32832,37.226,26640,-1
8,21,1039.41,600,213.09,226.32,9,2,37657,2.114,-1,-1
8,31,1019.85,600,198.71,221.14,9,2,36551,7.034,-1,-1
8,35,1019.85,600,198.71,221.14,9,2,36551,42.328,54336,-1
9,21,1062.15,600,213.59,248.56,9,2,35611,2.011,-1,-1
9,31,1017.3,600,200.87,216.43,9,2,35611,5.407,-1,-1
9,35,1017.3,600,200.87,216.43,9,2,35611,24.543,15456,-1
10,21,1087.46,600,231.11,256.35,9,2,40052,1.763,-1,-1
10,31,1081.5,600,231.11,250.39,9,2,40052,3.463,-1,-1
10,35,1081.5,600,231.11,250.39,9,2,40052,20.289,11040,-1
11,21,1171.5,600,234.32,337.18,9,2,39869,1.904,-1,-1
11,31,1021.56,600,210.11,211.45,9,2,36056,7.448,-1,-1
11,35,1021.56,600,210.11,211.45,9,2,36056,37.752,32784,-1
12,21,1099.74,600,234.66,265.08,9,2,43620,1.82,-1,-1
12,31,1099.74,600,234.66,265.08,9,2,43620,5.125,-1,-1
12,35,1099.74,600,234.66,265.08,9,2,43620,20.52,11424,-1
13,21,1036.96,600,213.68,223.28,9,2,37260,1.843,-1,-1
13,31,1035.47,600,212.19,223.28,9,2,37260,4.866,-1,-1
13,35,1035.47,600,212.19,223.28,9,2,37260,25.232,18144,-1
14,21,1242.73,900,259.27,83.46,9,3,33643,1.95,-1,-1
14,31,1147.03,600,275.1,271.93,9,2,44032,3.162,-1,-1
14,35,1147.03,600,275.1,271.93,9,2,44032,19.002,10800,-1
15,21,1029.11,600,220.72,208.39,9,2,42113,1.863,-1,-1
15,31,1005.42,600,201.3,204.12,9,2,34877,5.358,-1,-1
15,35,1005.42,600,201.3,204.12,9,2,34877,30.509,28608,-1
16,21,1286.08,900,240.06,146.02,9,3,32576,2.01,-1,-1
16,31,1276.47,900,246.24,130.23,9,3,30878,7.549,-1,-1
16,35,1276.47,900,246.24,130.23,9,3,30878,25.633,12384,-1
17,21,1247.46,600,263.07,384.39,9,2,42378,1.979,-1,-1
17,31,1108.7,600,199.71,308.99,9,2,32737,6.168,-1,-1
17,35,1108.7,600,199.71,308.99,9,2,32737,33.251,38112,-1
18,21,998.66,600,186.25,212.41,9,2,34872,2.081,-1,-1
18,31,976.45,600,181.13,195.32,9,2,33080,6.471,-1,-1
18,35,976.45,600,181.13,195.32,9,2,33080,24.036,18720,-1
19,21,1060.17,600,211.3,248.87,9,2,37214,2.078,-1,-1
19,31,1045.94,600,204.38,241.56,9,2,35653,6.856,-1,-1
19,35,1045.94,600,204.38,241.56,9,2,35653,32.467,31776,-1
20,21,1062.61,600,223.21,239.4,9,2,41682,1.939,-1,-1
20,31,1007.19,600,197.35,209.84,9,2,33321,7.471,-1,-1
20,35,1007.19,600,197.35,209.84,9,2,33321,33.262,29568,-1
