example_id,alg_id,best_objv,rent,electricity,time_pen,chrome_len,use_car_num,whole_time,exec_time,feasible_count,hit_cache
1,21,2689.92,1800,501.22,388.7,32,6,37927,4.28,-1,-1
1,31,2266.6,1500,417.14,349.46,32,5,35663,26.622,-1,-1
2,21,2517.51,1500,493.93,523.58,32,5,45866,4.816,-1,-1
2,31,2464.43,1500,485.27,479.16,32,5,38154,21.036,-1,-1
3,21,2681.2,1800,536.76,344.44,32,6,39861,5.627,-1,-1
3,31,2270.87,1500,428.92,341.95,32,5,34579,29.404,-1,-1
4,21,99999999,99999999,99999999,99999999,32,-1,99999999,1.272,-1,-1
4,31,2241.6,1500,389.82,351.78,32,5,37516,28.339,-1,-1
5,21,2654.92,1500,507.0,647.92,32,5,43057,4.341,-1,-1
5,31,2661.71,1800,515.05,346.66,32,6,37568,24.64,-1,-1
6,21,2362.65,1500,436.91,425.74,32,5,35776,4.947,-1,-1
6,31,2358.05,1500,431.65,426.4,32,5,33918,29.31,-1,-1
7,21,3301.4,2100,633.75,567.65,32,7,38195,2.312,-1,-1
7,31,2471.84,1500,422.55,549.29,32,5,36741,21.106,-1,-1
8,21,2908.82,1800,560.14,548.68,32,6,40402,2.987,-1,-1
8,31,2317.21,1500,448.53,368.68,32,5,39659,25.838,-1,-1
9,21,2449.16,1800,441.95,207.21,32,6,33345,5.221,-1,-1
9,31,2281.26,1500,426.8,354.46,32,5,39833,30.793,-1,-1
10,21,3483.13,2100,663.57,719.56,32,7,40624,1.3,-1,-1
10,31,2413.9,1500,462.7,451.2,32,5,40324,28.247,-1,-1
11,21,2435.2,1500,458.75,476.45,32,5,45757,5.496,-1,-1
11,31,2206.0,1500,408.46,297.54,32,5,33473,30.89,-1,-1
12,21,2517.68,1500,463.84,553.84,32,5,40610,5.465,-1,-1
12,31,2264.68,1500,393.06,371.62,32,5,37653,28.908,-1,-1
13,21,2658.63,1800,507.42,351.21,32,6,40107,5.128,-1,-1
13,31,2281.49,1500,426.62,354.87,32,5,32618,40.565,-1,-1
14,21,99999999,99999999,99999999,99999999,32,-1,99999999,1.316,-1,-1
14,31,2301.74,1500,418.01,383.73,32,5,33621,31.663,-1,-1
15,21,2952.25,2100,556.94,295.31,32,7,32143,3.742,-1,-1
15,31,2440.99,1500,468.49,472.5,32,5,39521,26.111,-1,-1
16,21,3048.46,2100,579.37,369.09,32,7,34864,4.26,-1,-1
16,31,2395.79,1500,460.92,434.87,32,5,42365,24.908,-1,-1
17,21,2931.92,1800,562.73,569.19,32,6,42800,3.568,-1,-1
17,31,2219.73,1500,396.56,323.17,32,5,35533,22.621,-1,-1
18,21,2542.1,1800,449.47,292.63,32,6,35391,5.729,-1,-1
18,31,2125.01,1500,341.11,283.9,32,5,34328,31.699,-1,-1
19,21,2497.55,1800,428.41,269.14,32,6,33056,5.293,-1,-1
19,31,2326.4,1500,413.83,412.57,32,5,33945,37.075,-1,-1
20,21,2565.99,1800,469.58,296.41,32,6,37041,3.977,-1,-1
20,31,2389.25,1500,459.52,429.73,32,5,36359,25.456,-1,-1
